Nama,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
d. Pendapatan Badan Layanan Umum,20863.4,23090.2,36271.2,38541.4,43304.6,47884.5,50000.3,58790.1,105801.1,83016.4,80430.96,77929.47
e. Surplus Bank Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Penerimaan Hibah,2325.1,3311.9,1975.2,3108.1,1196.9,435.3,1300.0,902.8,579.9,409.4,34923.6,581.1
B. Belanja Negara,1280368.6,1319549.0,1306696.0,1366956.6,1454494.4,1634339.5,1975240.2,1954548.5,2301644.9,2246457.8,3343494.34,3621313.73
I. Belanja Pemerintah Pusat,1280368.6,1319549.0,1306696.0,1366956.6,1454494.4,1634339.5,1975240.2,1954548.5,2301644.9,2246457.8,2485902.6,2701441.62
1. Belanja Pegawai,258435.6,299299.6,342447.4,343655.5,365691.6,381561.1,403722.7,421143.7,426523.3,442539.4,484430.93,521451.3
2. Belanja Barang,195206.8,259688.0,304241.8,296208.6,340130.2,345230.7,273162.1,362476.2,339731.0,376934.4,406983.77,486851.85
3. Belanja Modal,160790.5,252844.5,206567.4,228100.0,203879.4,189343.2,137383.9,246781.5,199196.6,209190.0,247474.23,234110.3
4. Subsidi,403035.6,212104.4,177754.5,168876.8,156228.1,224320.9,192023.2,175350.4,283661.0,298497.1,285971.98,307931.92
i. Subsidi Energi,350310.5,137824.0,94355.1,89864.0,94525.1,159971.9,95607.4,110512.2,208928.4,211976.1,189104.3,203412.22
ii. Subsidi Non Energi,52725.1,74280.3,83399.4,79012.8,61703.0,64349.0,96415.8,64838.2,74732.6,86521.0,96867.68,104519.7
5. Belanja Hibah,2853.3,4644.2,8537.3,5532.2,1460.8,1940.7,5072.1,6781.7,4824.3,10.1,6.6,202.7
6. Bantuan Sosial,96655.4,103573.6,53403.8,58962.1,81259.8,102055.5,174517.7,161435.5,147431.5,148565.2,157302.98,140058.86
7. Belanja Lain-lain,27938.3,31663.9,22525.5,49874.3,67237.4,114002.3,450574.2,207316.8,494410.2,329321.7,406412.5,457980.4
II. Transfer Ke Daerah,596504.3,664600.6,776252.9,766339.3,766162.6,826772.5,763925.6,795479.5,804780.5,814718.5,857591.74,919872.11
a. Dana Bagi Hasil,117663.6,110051.9,109075.9,95377.2,89225.3,106350.2,86418.7,101961.6,140430.4,136260.0,143099.93,192281.74
b. Dana Alokasi Umum,341219.4,352887.8,385360.9,398582.3,401489.6,417873.6,384381.5,390291.4,378000.0,396000.0,427699.3,446633.81
c. Dana Alokasi Khusus,33000.0,58820.7,211022.2,184636.5,185888.1,200368.8,182558.7,196423.5,189593.8,185797.3,188101.0,185240.95
d. Dana Otonomi Khusus,104097.4,121526.6,18264.4,19443.3,20059.6,20979.9,19556.7,19982.9,20436.3,17241.3,18271.5,20515.6
e. Dana Keistimewaan D.I.Y,523.9,547.5,547.5,800.0,1000.0,1200.0,1320.0,1320.0,1320.0,1420.0,1420.0,1200.0
f. Dana Desa,0.0,20766.2,46982.1,60000.0,60000.0,70000.0,71190.0,72000.0,68000.0,70000.0,71000.0,71000.0
g. Insentif Fiskal,0.0,0.0,5000.0,7500.0,8500.0,10000.0,18500.0,13500.0,7000.0,8000.0,8000.0,6000.0
C. Keseimbangan Primer,-106041.1,-66776.1,-105505.6,-178039.3,-87329.5,-20114.9,-700433.1,-633116.7,-434359.4,-156751.4,-43712.59,-63331.74
D. Surplus/Defisit Anggaran (A - B),-241494.3,-222506.9,-296723.9,-397235.8,-325936.6,-296000.2,-1039217.4,-1006379.5,-840226.3,-598151.4,-541032.19,-616186.02
E. Pembiayaan Anggaran,241494.3,222506.9,296723.9,397235.8,325936.6,296000.2,1039217.4,1006379.5,840226.3,598151.4,541032.19,616186.06
F. Kelebihan/(Kekurangan) Pembiayaan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
