Nama,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
6. Bantuan Sosial,97924.7,97151.2,49613.5,55297.2,84318.4,112480.3,202530.0,173654.1,161523.1,156601.6,154987.3,0.0
7. Belanja Lain-lain,11651.1,10051.9,6024.0,8802.9,16163.8,11699.7,120035.2,79704.4,404385.8,225023.7,215818.63,0.0
II. Transfer Ke Daerah,573703.1,623139.6,710256.9,741992.4,757792.9,812973.4,762530.2,785707.6,816234.8,881430.5,863540.38,0.0
a. Dana Bagi Hasil,103939.0,78053.4,90534.9,88232.2,93704.0,103980.0,93906.4,117157.0,168414.1,205666.6,153174.56,0.0
b. Dana Alokasi Umum,341219.3,352887.8,385360.8,398582.3,401489.6,420910.2,381612.5,377791.4,378000.0,398029.6,429210.61,0.0
c. Dana Alokasi Khusus,110589.0,152104.7,163869.9,167668.0,173449.6,186394.7,176578.8,184638.3,173164.6,181357.6,183536.05,0.0
d. Dana Otonomi Khusus,16148.8,17115.5,18264.4,19443.3,20059.6,20979.9,19556.7,19482.9,20436.3,17241.3,22642.75,0.0
e. Dana Keistimewaan D.I.Y,419.1,547.5,547.5,800.0,1000.0,1200.0,1320.0,1320.0,1320.0,1372.7,1420.0,0.0
f. Dana Desa,0.0,20766.2,46679.3,59766.6,59859.4,69814.1,71100.5,71853.7,67906.1,69856.8,70925.93,0.0
g. Insentif Fiskal,1387.8,1664.5,5000.0,7500.0,8230.8,9694.4,18455.3,13464.3,6993.7,7906.0,7001.74,0.0
C. Keseimbangan Primer,-93250.7,-142485.1,-125579.6,-124407.9,-11490.8,-73125.1,-633609.7,-431568.9,742157.0,102595.0,-19369.37,0.0
D. Surplus/Defisit Anggaran (A - B),-226692.0,-298494.8,-308340.9,-340975.9,-269442.9,-348646.3,-947697.8,-775064.3,355815.2,-337287.6,-507795.76,0.0
E. Pembiayaan Anggaran,248892.8,323108.0,334503.3,366623.8,305692.6,402051.5,1193293.8,871723.2,590978.1,356663.8,553184.94,0.0
F. Kelebihan/(Kekurangan) Pembiayaan,22200.9,24613.2,26162.4,25647.9,36249.7,53405.2,245596.0,96658.9,130558.5,19376.2,45389.18,0.0
